id,title,type,release_year,age_certification,runtime,genres,production_countries,imdb_score
tm286532,Rock my Heart,MOVIE,2017,Not Availavle,105,"['drama', 'family', 'action', 'european']",['DE'],6.5
tm320817,Mersal,MOVIE,2017,Not Availavle,169,"['thriller', 'action']",['IN'],7.5
tm348568,Jerry Before Seinfeld,MOVIE,2017,Not Availavle,62,"['comedy', 'documentation']",['US'],7.0
tm348392,The Last Shaman,MOVIE,2017,Not Availavle,83,"['documentation', 'drama', 'family', 'european']","['PE', 'GB', 'US', 'IL', 'IT']",6.6
tm372486,All Good,MOVIE,2018,Not Availavle,93,"['drama', 'comedy', 'european']",['DE'],6.5
tm327708,Bareilly Ki Barfi,MOVIE,2017,Not Availavle,123,"['romance', 'comedy']",['IN'],7.5
ts78767,First Team: Juventus,SHOW,2018,TV-G,36,"['scifi', 'reality', 'sport', 'documentation']",['IT'],7.3
tm320489,Expedition Happiness,MOVIE,2017,G,95,"['documentation', 'european']",['DE'],5.9
tm411467,Dany Boon: Des Hauts-De-France,MOVIE,2018,Not Availavle,113,"['comedy', 'european']",['FR'],6.2
tm307767,Baadshaho,MOVIE,2017,Not Availavle,136,"['action', 'thriller']",['IN'],4.9
ts79707,Edha,SHOW,2018,TV-MA,40,['drama'],['AR'],4.9
ts78692,Rapture,SHOW,2018,TV-MA,58,"['documentation', 'scifi', 'thriller', 'horror', 'music']",['US'],5.4
tm432327,C/o Kancharapalem,MOVIE,2018,PG,152,['drama'],['IN'],8.9
ts81596,Black Crows,SHOW,2017,TV-MA,33,"['drama', 'war', 'thriller']","['SA', 'SY', 'AE']",5.3
ts84932,Super Drags,SHOW,2018,TV-MA,25,"['animation', 'comedy', 'fantasy']",['BR'],5.4
ts84038,Battlefish,SHOW,2018,Not Availavle,43,"['documentation', 'reality']",['US'],7.1
tm352705,Jack Whitehall: At Large,MOVIE,2017,Not Availavle,67,['comedy'],['GB'],6.8
tm376801,The Rachel Divide,MOVIE,2018,Not Availavle,104,['documentation'],['US'],6.3
tm306631,Trevor Noah: Afraid of the Dark,MOVIE,2017,PG-13,68,['comedy'],['US'],7.2
tm370447,The Tree of Blood,MOVIE,2018,Not Availavle,130,"['drama', 'european']",['ES'],6.3
tm375962,Nothing to Lose,MOVIE,2018,PG,130,['drama'],['BR'],2.3
ts79856,SWORDGAI The Animation,SHOW,2018,TV-MA,23,"['action', 'animation', 'scifi', 'fantasy', 'horror']",['JP'],5.8
ts84782,Larva Island,SHOW,2018,TV-Y7,8,"['animation', 'comedy']","['US', 'KR']",6.5
ts83045,Accidentally In Love,SHOW,2018,TV-14,31,"['family', 'drama', 'comedy', 'music', 'romance']",['CN'],7.4
tm414340,Spivak,MOVIE,2018,Not Availavle,91,['comedy'],['US'],5.6
tm313118,"Love, Surreal and Odd",MOVIE,2017,G,95,"['comedy', 'romance']",['TR'],5.6
tm408871,Jefe,MOVIE,2018,Not Availavle,89,"['comedy', 'european']",['ES'],5.4
ts83204,Million Pound Menu,SHOW,2018,Not Availavle,60,['reality'],['GB'],6.6
tm363787,Christmas in the Heartland,MOVIE,2017,Not Availavle,90,['family'],['US'],5.8
tm409817,Sir,MOVIE,2018,Not Availavle,98,"['drama', 'romance', 'european']","['IN', 'FR']",7.7
ts80751,The Break with Michelle Wolf,SHOW,2018,TV-MA,26,['comedy'],['US'],5.1
tm286520,Jim Gaffigan: Cinco,MOVIE,2017,Not Availavle,73,['comedy'],['US'],7.1
tm244287,Half Girlfriend,MOVIE,2017,Not Availavle,135,"['drama', 'romance']",['IN'],4.5
ts74765,Daughters of Destiny,SHOW,2017,Not Availavle,61,['documentation'],['IN'],8.6
tm364206,Ex-Shaman,MOVIE,2018,Not Availavle,81,['documentation'],['BR'],7.1
tm411358,The American Meme,MOVIE,2018,Not Availavle,90,['documentation'],['US'],6.7
ts82559,Amazing Interiors,SHOW,2018,TV-PG,26,['documentation'],"['GB', 'US']",6.6
ts81944,The Comedy Lineup,SHOW,2018,TV-MA,15,"['comedy', 'action']",[],5.9
tm283559,The Art of Loving: Story of Michalina Wislocka,MOVIE,2017,Not Availavle,121,"['comedy', 'romance', 'drama', 'european']",['PL'],7.1
ts75887,Paul Hollywood's Big Continental Road Trip,SHOW,2017,TV-14,59,"['documentation', 'european']",['GB'],7.4
ts89372,Titipo Titipo,SHOW,2018,TV-Y,18,['animation'],['KR'],6.8
tm363922,Dovlatov,MOVIE,2018,PG-13,126,['drama'],"['RS', 'PL', 'RU']",6.4
ts81856,Borges,SHOW,2018,TV-MA,0,['comedy'],['BR'],6.2
ts76771,Stretch Armstrong & the Flex Fighters,SHOW,2017,TV-G,23,"['animation', 'action', 'comedy', 'scifi']",['US'],6.1
tm476960,El testigo,MOVIE,2018,Not Availavle,76,['documentation'],[],8.1
ts84335,1983,SHOW,2018,TV-MA,57,"['drama', 'thriller', 'crime']",['PL'],6.7
tm373873,Weed the People,MOVIE,2018,Not Availavle,98,['documentation'],['US'],7.3
tm366143,Maktub,MOVIE,2017,PG-13,100,"['drama', 'comedy']",['IL'],7.3
tm372969,Love per Square Foot,MOVIE,2018,Not Availavle,133,"['comedy', 'romance']",['IN'],7.2
ts93947,Wrong Kind of Black,SHOW,2018,TV-MA,16,"['drama', 'comedy']",['AU'],7.6
ts82160,Harvey Street Kids,SHOW,2018,TV-Y7,24,"['family', 'action', 'animation', 'comedy']",['US'],6.7
ts83247,Stay Here,SHOW,2018,TV-PG,32,"['reality', 'documentation']",['US'],7.4
tm405738,Perdida,MOVIE,2018,R,103,"['crime', 'drama', 'thriller']","['ES', 'AR']",5.6
ts86994,Serial Killer with Piers Morgan,SHOW,2017,TV-14,47,"['documentation', 'crime']",['GB'],3.9
tm319512,The Girl from the Song,MOVIE,2017,Not Availavle,102,"['romance', 'drama', 'music', 'european']",['ES'],5.6
tm374357,Going for Gold,MOVIE,2018,G,89,"['drama', 'family', 'sport']",['AU'],4.7
tm326089,Mubarakan,MOVIE,2017,PG-13,156,"['drama', 'comedy', 'romance']",['IN'],5.6
ts80084,Dragon Pilot: Hisone and Masotan,SHOW,2018,TV-14,25,"['animation', 'scifi', 'drama', 'fantasy']",['JP'],6.9
ts76646,Blazing Transfer Students,SHOW,2017,TV-MA,26,"['action', 'comedy']",['JP'],6.9
ts75138,Argon,SHOW,2017,Not Availavle,63,['drama'],['KR'],7.3
tm445255,Qismat,MOVIE,2018,Not Availavle,140,"['drama', 'romance', 'comedy']",['IN'],8.1
ts75491,Fire Chasers,SHOW,2017,Not Availavle,55,['documentation'],['US'],6.5
tm358609,Sara's Notebook,MOVIE,2018,R,115,"['thriller', 'drama', 'european']",['ES'],5.9
tm409494,Ali Wong: Hard Knock Wife,MOVIE,2018,Not Availavle,64,['comedy'],['US'],7.3
tm366973,Tom Segura: Disgraceful,MOVIE,2018,PG-13,74,"['comedy', 'documentation']",['US'],7.5
ts80342,AMO,SHOW,2018,TV-MA,24,"['crime', 'drama']",['PH'],6.4
ts57291,Unrequited Love,SHOW,2017,Not Availavle,33,['drama'],['JP'],6.7
tm431760,Paskal,MOVIE,2018,Not Availavle,114,"['action', 'war', 'drama']",['MY'],6.8
tm295558,The Grown-Ups,MOVIE,2017,Not Availavle,82,['documentation'],"['CL', 'NL', 'FR']",7.7
tm434883,Been So Long,MOVIE,2018,Not Availavle,100,"['music', 'romance', 'drama']",['GB'],5.4
tm360945,Soorma,MOVIE,2018,PG-13,131,"['drama', 'sport']",['IN'],7.3
