Country Code,City,Location,Coordinates,Pollutant,Source Name,Unit,Value,Last Updated
IT,Civitavecchia,Aurelia,"42.137344, 11.793163",NO,ARPALAZIO,µg/m³,0.0,2024-03-23T05:30:00+05:30
IT,RETE REGIONALE QUALITA' DELL'ARIA DELLA TOSCANA,NET.IT279A,"43.78666999999999, 11.2875",PM2.5,EEA Italy,µg/m³,0.0,2024-03-11T17:30:00+05:30
IT,REGIONE PUGLIA,NET.IT223A,"40.460555559999996, 17.26333",SO2,EEA Italy,µg/m³,5.47,2024-03-11T16:30:00+05:30
IT,ENEL BRINDISI,NET.IT273A,"40.74278, 17.41583",NO2,EEA Italy,µg/m³,4.92,2024-03-11T16:30:00+05:30
IT,ITALGREEN,NET.IT271A,"40.961389999999994, 17.28417",NO2,EEA Italy,µg/m³,15.11,2024-03-11T16:30:00+05:30
IT,REGIONE PUGLIA,NET.IT223A,"41.113611, 16.888056",CO,EEA Italy,µg/m³,180.0,2024-03-11T16:30:00+05:30
IT,RETE REGIONALE QUALITA' DELL'ARIA DELLA TOSCANA,NET.IT279A,"43.24777799999999, 10.881667000000002",NO2,EEA Italy,µg/m³,4.0,2024-03-11T11:30:00+05:30
IT,RETE REGIONALE UMBRIA,NET.IT252A,"42.56, 12.65083",NO2,EEA Italy,µg/m³,30.2,2024-03-11T15:30:00+05:30
IT,Rete di Rilevamento della Qualit� dell'Aria della Provincia di Pavia,NET.IT100A,"45.19388899999999, 9.164722",SO2,EEA Italy,µg/m³,1.459084,2024-03-11T15:30:00+05:30
IT,MONITORING NETWORK OF REGIONE BASILICATA,NET.IT133A,"40.485845999999995, 16.496209",SO2,EEA Italy,µg/m³,2.497,2024-03-11T15:30:00+05:30
IT,Rete di Rilevamento della Qualit� dell'Aria della Provincia di Cremona,NET.IT109A,"45.148333, 9.940278",PM10,EEA Italy,µg/m³,12.3,2024-03-11T04:30:00+05:30
IT,RETE REGIONALE QUALITA' DELL'ARIA DELLA TOSCANA,NET.IT279A,"43.872780000000006, 11.09194",NO2,EEA Italy,µg/m³,40.0,2024-03-11T15:30:00+05:30
IT,REGIONE PUGLIA,NET.IT223A,"40.488609999999994, 17.22583",SO2,EEA Italy,µg/m³,2.16,2024-03-11T15:30:00+05:30
IT,RETE REGIONALE QUALITA' DELL'ARIA DELLA TOSCANA,NET.IT279A,"43.94083, 10.90528",PM10,EEA Italy,µg/m³,8.0,2024-03-11T04:30:00+05:30
IT,RETE REGIONALE QUALITA' DELL'ARIA DELLA TOSCANA,NET.IT279A,"43.91611, 11.006939999999998",NO,EEA Italy,µg/m³,18.0,2024-03-11T15:30:00+05:30
IT,PIEMONTE - SISTEMA REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA,NET.IT224A,"45.930299999999995, 8.5655",O3,EEA Italy,µg/m³,41.0,2024-03-11T15:30:00+05:30
IT,MONITORAGGIO AMBIENTALE DELLA REGIONE CAMPANIA A CURA DELL'A.R.P.A.C.,NET.IT116A,"40.86427, 14.34108",CO,EEA Italy,µg/m³,430.0,2024-03-11T15:30:00+05:30
FR,ATMO GRAND EST,NET-FR075A,"49.224167000000016, 4.020556",PM2.5,EEA France,µg/m³,19.4,2024-03-11T13:30:00+05:30
FR,ATMO GRAND EST,NET-FR075A,"49.046099999999996, 3.955911",NO,EEA France,µg/m³,207.3,2024-03-11T13:30:00+05:30
FR,ATMO GRAND EST,NET-FR075A,"49.28222, 4.051111",NO,EEA France,µg/m³,13.1,2024-03-11T13:30:00+05:30
FR,ATMO GRAND EST,NET-FR075A,"48.65694399999999, 6.136022",NO,EEA France,µg/m³,3.3,2024-03-11T13:30:00+05:30
FR,ATMO HAUTS DE FRANCE,NET-FR074A,"49.259552, 2.474397",NO,EEA France,µg/m³,10.6,2024-03-11T13:30:00+05:30
FR,ATMO GRAND EST,NET-FR075A,"48.17278000000001, 6.452811",NO2,EEA France,µg/m³,14.4,2024-03-11T13:30:00+05:30
FR,ATMO GRAND EST,NET-FR075A,"48.584824, 6.483900000000001",NO,EEA France,µg/m³,15.8,2024-03-11T13:30:00+05:30
FR,AIR PAYS DE LA LOIRE,NET-FR035A,"47.98891999999999, 0.195983",NO,EEA France,µg/m³,9.5,2024-03-11T11:30:00+05:30
FR,AIR PAYS DE LA LOIRE,NET-FR035A,"48.06943, -0.7676919999999999",NO,EEA France,µg/m³,13.4,2024-03-11T11:30:00+05:30
FR,AIR PAYS DE LA LOIRE,NET-FR035A,"46.66069999999999, -1.436831",NO2,EEA France,µg/m³,10.6,2024-03-11T13:30:00+05:30
FR,QUALITAIR CORSE,NET-FR065A,"41.924694, 8.735694",PM2.5,EEA France,µg/m³,5.6,2024-03-11T13:30:00+05:30
FR,AIR PAYS DE LA LOIRE,NET-FR035A,"47.32108, -2.127322",NO,EEA France,µg/m³,5.1,2024-03-11T13:30:00+05:30
FR,AIR PAYS DE LA LOIRE,NET-FR035A,"47.204119999999996, -1.564811",CO,EEA France,µg/m³,495.0,2024-03-11T13:30:00+05:30
FR,QUALITAIR CORSE,NET-FR065A,"42.702829999999985, 9.446389",NO,EEA France,µg/m³,7.2,2024-03-11T13:30:00+05:30
FR,ATMO NOUVELLE-AQUITAINE,NET-FR058A,"43.310832999999995, -0.391111",O3,EEA France,µg/m³,26.4,2024-03-04T12:30:00+05:30
FR,ATMO OCCITANIE,NET-FR068A,"43.64305499999999, 1.46765",NO,EEA France,µg/m³,291.8,2024-03-04T12:30:00+05:30
FR,ATMO NOUVELLE-AQUITAINE,NET-FR058A,"46.5909, 0.3404",PM10,EEA France,µg/m³,28.9,2024-03-04T11:30:00+05:30
FR,ATMO OCCITANIE,NET-FR068A,"43.096943, -0.03888900000000001",O3,EEA France,µg/m³,86.4,2024-03-04T12:30:00+05:30
FR,ATMO NOUVELLE-AQUITAINE,NET-FR058A,"46.58691799999999, 0.358583",NO,EEA France,µg/m³,5.8,2024-03-04T12:30:00+05:30
FR,ATMO NOUVELLE-AQUITAINE,NET-FR058A,"45.88999999999999, 0.9",O3,EEA France,µg/m³,7.2,2024-03-04T12:30:00+05:30
FR,ATMO OCCITANIE,NET-FR068A,"43.587219999999995, 1.443889",PM2.5,EEA France,µg/m³,2.4,2024-03-04T12:30:00+05:30
FR,QUALITAIR CORSE,NET-FR065A,"41.92575, 8.738278",NO2,EEA France,µg/m³,19.4,2024-02-01T04:30:00+05:30
FR,Var,FR03067,"43.3987241550087, 6.07610576710319",O3,EEA France,µg/m³,62.5,2024-01-29T22:30:00+05:30
FR,Nord,FR10029,"50.9959079994751, 2.365994",NO,EEA France,µg/m³,4.9,2024-01-29T22:30:00+05:30
FR,Yonne,FR26016,"48.2005841475738, 3.277224836372",NO,EEA France,µg/m³,67.0,2024-01-29T22:30:00+05:30
FR,Bouches-du-Rhône,FR03014,"43.348052932201504, 5.360651542219041",PM10,EEA France,µg/m³,25.5,2024-01-29T22:30:00+05:30
FR,Bouches-du-Rhône,FR02029,"43.3995726680061, 5.11471976688564",PM10,EEA France,µg/m³,26.2,2024-01-29T21:30:00+05:30
FR,Bouches-du-Rhône,FR03037,"43.2831503020971, 5.51208953281591",O3,EEA France,µg/m³,89.5,2024-01-29T21:30:00+05:30
